Vendor,Annual Cost,Category,Classification,QB Section,Users/Licenses,Overlap With,Recommendation,Confidence,Department,Notes
CloudBase Services,3600.0,Other,Service Delivery COGS,Computer and Internet Expenses,Unknown,,CONFIRM: client delivery (COGS) or internal (SG&A),Needs Confirmation,Services,"Cloud services — likely client delivery infrastructure. Expense Tracker shows $400/mo, annually $4,800. Needs confirmation."
CyberFox,2189.0,Security/Compliance,Service Delivery COGS,Computer and Internet Expenses,Help Desk team,,RECLASSIFY to COGS,Analysis,Help Desk,Cybersecurity platform for client security delivery.
Duo Security,2068.2,Security/Compliance,Service Delivery COGS,Computer and Internet Expenses,Per-client MFA,,RECLASSIFY to COGS,Analysis,Help Desk,Client MFA/access security delivery platform.
Qualys,1023.85,Security/Compliance,Service Delivery COGS,Computer and Internet Expenses,Help Desk team,,RECLASSIFY to COGS,Analysis,Help Desk,Client vulnerability scanning / pen test software. Annual fee ~$995.
Have I Been Pwned,22.0,Security/Compliance,Service Delivery COGS,Computer and Internet Expenses,API access,,RECLASSIFY to COGS,Analysis,Help Desk,Breach monitoring API for client security monitoring.
Microsoft Azure,19041.03,Other,Internal SG&A,Computer and Internet Expenses,Unknown,,CONFIRM: internal (SG&A) or client-hosted (COGS),Needs Confirmation,Services,Azure infrastructure. If PulseOne internal → SG&A correct. If client-hosted environments → reclassify to COGS. NEEDS OWNER CONFIRMATION.
Microsoft (M365 Internal),14126.95,Productivity,Internal SG&A,Computer and Internet Expenses,~38 users,Google (partial overlap),KEEP — core productivity suite,Analysis,General,Internal Microsoft 365 / productivity licenses for PulseOne staff.
Unknown (unattributed),7720.79,Other,Internal SG&A,Computer and Internet Expenses,Unknown,,INVESTIGATE — identify these charges,Needs Confirmation,Unknown,"10 transactions with no vendor name in the QB export. Likely credit card charges without vendor attribution. Represents the $7,721 gap between detail file ($256,232) and P&L ($263,953)."
Avalara,6806.55,Accounting/Finance,Internal SG&A,Computer and Internet Expenses,Finance team,,KEEP — required for tax compliance,Analysis,Operations,Tax compliance and sales tax automation. Internal finance tool.
Adobe Software,3739.15,Productivity,Internal SG&A,Computer and Internet Expenses,Marketing team,Figma (partial design overlap),KEEP — review seat count vs actual users,Analysis,Marketing,Adobe Creative Suite — internal marketing and design tool.
"GoDaddy.com, Inc.",2880.07,Other,Internal SG&A,Computer and Internet Expenses,Multiple domains,,CONFIRM: internal domains (SG&A) or client-hosted (COGS),Needs Confirmation,General,Domain registration and web hosting. Likely internal PulseOne domains. Confirm whether any domains are client-hosted (would be COGS).
Pivotal Crew LLC,2000.0,Other,Internal SG&A,Computer and Internet Expenses,N/A — one-time,,CONFIRM purpose; likely already cancelled per Expense Tracker,Needs Confirmation,General,One-time charge. Expense Tracker shows $900/mo service ending 12/1/24 with 2025 reduction. Likely a contractor or specialized service.
Cursor,1184.17,Development/AI,Internal SG&A,Computer and Internet Expenses,~2-3 dev users,Replit (redundant IDE),KEEP — primary dev tool; cancel Replit,Analysis,General,AI coding IDE — internal development tool. Primary IDE; Replit is redundant.
OpenAI,1076.47,Development/AI,Internal SG&A,Computer and Internet Expenses,API access,"Anthropic, Claude.AI, OpenRouter (LLM overlap)",KEEP as primary LLM; consolidate others,Analysis,General,OpenAI API — internal AI tooling. Review for consolidation with other AI subscriptions.
Eversign,959.76,Productivity,Internal SG&A,Computer and Internet Expenses,~2-3 users,,KEEP — required for contract management,Analysis,General,E-signature platform for internal contracts and client agreements.
Railway,823.08,Development/AI,Internal SG&A,Computer and Internet Expenses,Dev team,,KEEP — internal hosting,Analysis,General,Internal hosting/deployment platform for dev projects.
"Replit, Inc.",525.56,Development/AI,Internal SG&A,Computer and Internet Expenses,~1-2 users,Cursor (redundant IDE),CANCEL — redundant with Cursor,Analysis,General,Online coding environment — redundant with Cursor.
Calendy,513.57,Productivity,Internal SG&A,Computer and Internet Expenses,~2-3 users,TimeZest (redundant scheduling),CANCEL — redundant with TimeZest,Analysis,Marketing,Scheduling tool — redundant with TimeZest (ConnectWise integrated).
Anthropic,424.81,Development/AI,Internal SG&A,Computer and Internet Expenses,API access,"OpenAI, Claude.AI, OpenRouter (LLM overlap)",CONSOLIDATE — pick one primary LLM provider,Analysis,General,Anthropic Claude API — internal AI tooling. Redundant with OpenAI.
Manus AI,389.0,Development/AI,Internal SG&A,Computer and Internet Expenses,1 user,,KEEP — strategic audit tool,Analysis,General,AI assistant platform — internal strategic analysis tool (this audit).
AI MAD FZCO,360.0,Development/AI,Internal SG&A,Computer and Internet Expenses,Unknown,,CONFIRM purpose; likely CANCEL if not actively used,Needs Confirmation,General,AI service — purpose unclear. Single payment.
Zapier.com,359.88,Productivity,Internal SG&A,Computer and Internet Expenses,~1-2 users,,KEEP — workflow automation,Analysis,General,Workflow automation — internal operations tool.
Google,351.98,Productivity,Internal SG&A,Computer and Internet Expenses,~1-2 users,Microsoft M365 (partial overlap),REVIEW — potential overlap with M365; consolidate if possible,Analysis,General,Google services (Workspace/Cloud) — internal productivity.
Monday.com,288.0,Productivity,Internal SG&A,Computer and Internet Expenses,~1-2 users,ConnectWise (project management overlap),REVIEW — may be redundant with ConnectWise project boards,Analysis,Marketing,Project management platform — internal operations. Expense Tracker classifies as Marketing.
RapidAPI,261.0,Development/AI,Internal SG&A,Computer and Internet Expenses,API access,,KEEP — dev tool,Analysis,General,API marketplace — internal development tool.
Iron Software,249.0,Development/AI,Internal SG&A,Computer and Internet Expenses,1 license,,KEEP — dev tool,Analysis,General,Document processing library — internal development tool. Annual license.
Scrapfly,230.0,Development/AI,Internal SG&A,Computer and Internet Expenses,API access,,KEEP — dev tool,Analysis,General,Web scraping service — internal data collection tool.
Claude.AI,220.0,Development/AI,Internal SG&A,Computer and Internet Expenses,1 user,"Anthropic API, OpenAI (redundant LLM interface)",CANCEL — redundant with Anthropic API,Analysis,General,Claude AI web interface — redundant with Anthropic API subscription.
Frame.io,210.0,Productivity,Internal SG&A,Computer and Internet Expenses,~1-2 users,,REVIEW — confirm active use,Analysis,Marketing,Video review and collaboration platform — internal marketing tool.
Cognito LLC,204.0,Productivity,Internal SG&A,Computer and Internet Expenses,~1 user,,REVIEW — confirm active use,Needs Confirmation,General,Forms and data collection platform. Confirm if used for client-facing forms or internal only.
LearnDash,199.0,HR/Admin,Internal SG&A,Computer and Internet Expenses,LMS platform,,REVIEW — confirm active use for training,Analysis,General,Learning Management System — internal staff training.
Vevox,131.4,Communication/Collaboration,Internal SG&A,Computer and Internet Expenses,~1 user,,"CANCEL — low value, likely underused",Analysis,General,Meeting polling/Q&A tool — internal meetings. Low usage likely.
Zoho,120.0,Productivity,Internal SG&A,Computer and Internet Expenses,~1 user,"ConnectWise, HubSpot (CRM overlap)",CANCEL — likely redundant with ConnectWise/HubSpot,Analysis,General,Zoho CRM/productivity suite — internal tool. Confirm if actively used.
PromptSMRT,108.86,Development/AI,Internal SG&A,Computer and Internet Expenses,1 user,"OpenAI, Anthropic (AI overlap)",REVIEW — confirm active use,Analysis,General,AI prompt management tool — internal.
Reincubate,99.99,Other,Internal SG&A,Computer and Internet Expenses,1 license,,REVIEW — confirm active use,Analysis,General,iPhone backup recovery tool — internal IT use.
Figma,96.83,Productivity,Internal SG&A,Computer and Internet Expenses,~1 user,Adobe Software (design overlap),REVIEW — potential overlap with Adobe; consolidate design tools,Analysis,Marketing,Design tool — internal marketing use.
Carbonite,95.99,Backup/DR,Internal SG&A,Computer and Internet Expenses,1 license,"MSP360, Wasabi (backup overlap if internal)",CANCEL — likely legacy subscription per Expense Tracker note,Analysis,General,"Backup software. Expense Tracker notes 'turned off as of sept 1, 2023'. May be a legacy subscription still being charged."
Aqua Voice,89.91,Development/AI,Internal SG&A,Computer and Internet Expenses,1 user,,REVIEW — confirm active use,Analysis,General,Voice transcription tool — internal use.
Quicken,71.88,Accounting/Finance,Internal SG&A,Computer and Internet Expenses,1 user,,CANCEL — non-business tool,Analysis,General,Personal finance software — non-business use.
Patreon,70.56,Other,Internal SG&A,Computer and Internet Expenses,1 subscription,,CANCEL — non-business tool,Analysis,General,Content subscription platform — non-business use.
Wordpress Rocket,59.0,Other,Internal SG&A,Computer and Internet Expenses,1 license,,KEEP — website infrastructure,Analysis,Marketing,WordPress caching plugin — internal website.
SessionBox,47.88,Development/AI,Internal SG&A,Computer and Internet Expenses,1 user,,KEEP — dev/testing tool,Analysis,General,Multi-session browser tool — internal development/testing.
DiviBooster,39.0,Other,Internal SG&A,Computer and Internet Expenses,1 license,,KEEP — website infrastructure,Analysis,Marketing,WordPress plugin — internal website.
OpenRouter,26.69,Development/AI,Internal SG&A,Computer and Internet Expenses,API access,"OpenAI, Anthropic (redundant LLM routing)",CANCEL — redundant with direct API access,Analysis,General,AI model routing service — redundant with direct API subscriptions.
Google Storage,23.88,Other,Internal SG&A,Computer and Internet Expenses,Storage bucket,,KEEP — minimal cost,Analysis,General,Google Cloud Storage — internal data storage.
Cloudflare,20.92,Other,Internal SG&A,Computer and Internet Expenses,1 domain,,KEEP — website infrastructure,Analysis,General,CDN/security — internal website infrastructure. Spelled 'Cloudfare' in QB.
Event Connect,13.5,Other,Internal SG&A,Computer and Internet Expenses,1 event,,REVIEW — likely one-time; confirm if recurring,Analysis,General,Event management tool — internal use. Single charge.
Synnex Corp (Resale),251027.74,Other,Client-Delivered COGS,Purchases - Software for Resale,Client-specific purchases,,REPRICE — margin below BiC target,Analysis,Sales,Standalone software/hardware resale via TD Synnex distributor. Primary driver of -9.4% software resale margin. Must be repriced to 25%+ margin.
Ingram Micro,107531.4,Other,Client-Delivered COGS,Purchases - Software for Resale,Client-specific purchases,,REPRICE — margin below BiC target,Analysis,Sales,"Standalone software/hardware resale. Note: QB extract shows $107,531 vs classification file $194,247 — possible partial year or different export range."
Amazon Web Services (Resale),63272.94,Other,Client-Delivered COGS,Purchases - Software for Resale,Client AWS consumption,,KEEP — verify margin on resale,Owner Confirmed,Sales,Client-specific AWS consumption billed as standalone resale. Owner confirmed COGS.
AvePoint,39926.79,Backup/DR,Client-Delivered COGS,Purchases - Software for Resale,Client licenses,,KEEP — verify client billing covers 25%+ margin,Analysis,Sales,"Microsoft 365 backup and governance platform resold to clients. Note: QB extract shows $39,927 vs classification file $41,200."
EFolder Systems (Axcient),10718.97,Backup/DR,Client-Delivered COGS,Purchases - Software for Resale,Client licenses,,KEEP — verify margin,Analysis,Help Desk,Business continuity and backup platform (Axcient) resold to clients.
ScalePad {WarrantyMaster},5988.0,Other,Client-Delivered COGS,Purchases - Software for Resale,Client licenses,,REVIEW — Expense Tracker questions necessity,Analysis,Help Desk,Hardware lifecycle and warranty management platform resold to clients. Expense Tracker asks 'Do we need this?'
Atlassian,2961.68,Productivity,Client-Delivered COGS,Purchases - Software for Resale,Client licenses,,CONFIRM — client resale or internal tool miscategorized,Needs Confirmation,Services,Jira/Confluence in Resale section — likely resold to a specific client.
Mosyle Corp,600.0,RMM/Monitoring,Client-Delivered COGS,Purchases - Software for Resale,Client MDM,,KEEP — client delivery,Analysis,Help Desk,Apple MDM platform (Mosyle) — likely resold to Mac-heavy client.
AppRiver,452.5,Security/Compliance,Client-Delivered COGS,Purchases - Software for Resale,Client licenses,,KEEP — client delivery,Analysis,Help Desk,Email security and Microsoft 365 distribution resale.
Paddle.net,449.0,Other,Client-Delivered COGS,Purchases - Software for Resale,Client licenses,,CONFIRM — which product and client,Needs Confirmation,Sales,Software licensing via Paddle.net — likely a specific title resold to client.
Microsoft (Resale),68.64,Productivity,Client-Delivered COGS,Purchases - Software for Resale,Client licenses,,KEEP — client delivery,Analysis,Sales,Small Microsoft licensing item in Software Resale section.
